B1,pays,country
8201,Autre Europe,Other Europe
8202,Autre Europe,Other Europe
8220,Autre Europe,Other Europe
8226,Autre Europe,Other Europe
8248,Autre Europe,Other Europe
8249,Autre Europe,Other Europe
8252,Autre Europe,Other Europe
8254,Autre Europe,Other Europe
8255,Autre Europe,Other Europe
8256,Autre Europe,Other Europe
8263,Autre Europe,Other Europe
8264,Autre Europe,Other Europe
8265,Autre Europe,Other Europe
8266,Autre Europe,Other Europe
8207,Allemagne,Germany
8212,France,France
8218,Italie,Italy
8229,Autriche,Austria
8231,Portugal,Portugal
8236,Espagne,Spain
8204,Autre UE/AELE,Other EU/EFTA
8205,Autre UE/AELE,Other EU/EFTA
8206,Autre UE/AELE,Other EU/EFTA
8242,Autre UE/AELE,Other EU/EFTA
8250,Autre UE/AELE,Other EU/EFTA
8260,Autre UE/AELE,Other EU/EFTA
8211,Autre UE/AELE,Other EU/EFTA
8214,Autre UE/AELE,Other EU/EFTA
8216,Autre UE/AELE,Other EU/EFTA
8240,Autre UE/AELE,Other EU/EFTA
8261,Autre UE/AELE,Other EU/EFTA
8262,Autre UE/AELE,Other EU/EFTA
8223,Autre UE/AELE,Other EU/EFTA
8224,Autre UE/AELE,Other EU/EFTA
8227,Autre UE/AELE,Other EU/EFTA
8230,Autre UE/AELE,Other EU/EFTA
8232,Autre UE/AELE,Other EU/EFTA
8244,Autre UE/AELE,Other EU/EFTA
8243,Autre UE/AELE,Other EU/EFTA
8251,Autre UE/AELE,Other EU/EFTA
8215,Autre UE/AELE,Other EU/EFTA
8234,Autre UE/AELE,Other EU/EFTA
8217,Autre UE/AELE,Other EU/EFTA
8228,Autre UE/AELE,Other EU/EFTA
8222,Autre UE/AELE,Other EU/EFTA
8300,Afrique,Africa
8301,Afrique,Africa
8302,Afrique,Africa
8303,Afrique,Africa
8304,Afrique,Africa
8305,Afrique,Africa
8306,Afrique,Africa
8307,Afrique,Africa
8308,Afrique,Africa
8309,Afrique,Africa
8310,Afrique,Africa
8311,Afrique,Africa
8312,Afrique,Africa
8313,Afrique,Africa
8314,Afrique,Africa
8315,Afrique,Africa
8316,Afrique,Africa
8317,Afrique,Africa
8318,Afrique,Africa
8319,Afrique,Africa
8320,Afrique,Africa
8321,Afrique,Africa
8322,Afrique,Africa
8323,Afrique,Africa
8324,Afrique,Africa
8325,Afrique,Africa
8326,Afrique,Africa
8327,Afrique,Africa
8328,Afrique,Africa
8329,Afrique,Africa
8330,Afrique,Africa
8331,Afrique,Africa
8332,Afrique,Africa
8333,Afrique,Africa
8334,Afrique,Africa
8335,Afrique,Africa
8336,Afrique,Africa
8337,Afrique,Africa
8338,Afrique,Africa
8339,Afrique,Africa
8340,Afrique,Africa
8341,Afrique,Africa
8342,Afrique,Africa
8343,Afrique,Africa
8344,Afrique,Africa
8345,Afrique,Africa
8346,Afrique,Africa
8347,Afrique,Africa
8348,Afrique,Africa
8349,Afrique,Africa
8350,Afrique,Africa
8351,Afrique,Africa
8352,Afrique,Africa
8353,Afrique,Africa
8354,Afrique,Africa
8355,Afrique,Africa
8356,Afrique,Africa
8357,Afrique,Africa
8358,Afrique,Africa
8359,Afrique,Africa
8360,Afrique,Africa
8361,Afrique,Africa
8362,Afrique,Africa
8363,Afrique,Africa
8364,Afrique,Africa
8365,Afrique,Africa
8366,Afrique,Africa
8367,Afrique,Africa
8368,Afrique,Africa
8369,Afrique,Africa
8370,Afrique,Africa
8371,Afrique,Africa
8372,Afrique,Africa
8373,Afrique,Africa
8374,Afrique,Africa
8375,Afrique,Africa
8376,Afrique,Africa
8377,Afrique,Africa
8378,Afrique,Africa
8379,Afrique,Africa
8380,Afrique,Africa
8381,Afrique,Africa
8382,Afrique,Africa
8383,Afrique,Africa
8384,Afrique,Africa
8385,Afrique,Africa
8386,Afrique,Africa
8387,Afrique,Africa
8388,Afrique,Africa
8389,Afrique,Africa
8390,Afrique,Africa
8391,Afrique,Africa
8392,Afrique,Africa
8393,Afrique,Africa
8394,Afrique,Africa
