"W18A1";"W18A6";"W18B1";"W18B9";"W18B10";"W18D1";"W18E38";"weight_2018"
2;5;8432;1;3;8;-7;28.089135067548
2;6;8218;1;1;8;1;142.095116353267
1;9;8405;2;-7;8;1;34.0484073094498
2;5;8231;2;-7;4;3;337.582357485572
1;10;8207;2;-7;3;1;408.914432160406
2;4;8439;1;2;5;-7;25.5285231069676
2;4;8236;1;2;7;-7;63.0115078339826
2;5;8510;2;-7;7;1;16.2007734990058
1;8;8231;2;-7;4;2;324.133316221888
2;10;8218;2;-7;8;1;137.855003809855
2;12;8215;2;-7;7;1;34.5659288173129
2;4;8215;1;2;7;2;45.6127717411273
2;11;8215;2;-7;7;1;33.787238326761
2;6;8236;1;2;8;4;63.0115078339826
2;12;8264;2;-7;8;2;140.339978451488
1;13;8518;1;1;9;1;31.5965860999322
1;13;8439;1;2;7;1;25.8194982137825
1;5;8424;2;-7;6;3;31.0737103712154
1;11;8215;1;3;8;-7;37.5257612419977
2;7;8215;1;4;8;1;48.8708268305858
2;12;8439;1;3;7;-7;25.5655018470119
2;13;8207;1;2;8;2;239.42011175175
1;5;8218;2;-7;7;4;172.316052767439
2;11;8236;2;-7;5;1;82.007624416865
2;7;8236;1;2;8;4;63.0115078339826
2;8;8231;2;-7;4;3;264.958256858071
2;6;8218;1;5;9;2;137.855003809855
2;8;8406;2;-7;3;2;43.2166569568887
1;7;8236;2;-7;7;1;63.3555516634303
1;6;8264;1;2;9;1;40.8896998424114
1;2;8439;2;-7;7;1;28.3682040369577
1;7;8212;2;-7;4;1;164.279462215597
1;1;8231;1;2;2;1;350.575771543294
1;10;8212;2;-7;7;1;137.193659106926
1;4;8218;1;2;7;4;318.121982724131
1;7;8423;1;2;2;3;25.7821520854634
2;11;8207;2;-7;8;-7;329.554741980749
1;9;8212;1;4;8;1;137.193659106926
1;3;8212;2;-7;7;1;164.279462215597
1;5;8212;1;4;8;1;141.195454433612
1;10;8218;1;5;8;1;160.0077634212
2;10;8218;1;5;8;1;154.083966068582
1;8;8207;2;-7;8;4;408.914432160406
2;9;8207;1;3;4;1;265.357290749673
2;6;8423;1;2;7;1;25.5285231069676
1;10;8510;1;2;9;1;17.0262627671209
1;8;8229;2;-7;4;1;32.1817080988778
1;11;8229;1;2;8;1;31.5965860999322
1;7;8218;2;-7;8;1;181.630434135561
1;5;8207;1;4;9;2;364.551812845204
1;9;8336;2;-7;8;2;106.795807410619
2;9;8439;1;2;8;1;25.8194982137825
2;8;8510;1;1;8;-7;17.0262627671209
2;4;8510;2;-7;7;-7;25.5285231069676
1;5;8218;2;-7;9;2;181.630434135561
2;7;8212;1;5;8;1;167.979258657
1;3;8218;1;1;7;1;150.776546284591
1;11;8439;1;1;8;1;25.8194982137825
1;12;8207;2;-7;6;2;364.551812845204
1;4;8212;1;2;8;1;138.575872700505
1;10;8207;1;2;5;1;364.551812845204
1;5;8236;1;4;8;1;150.776546284591
2;5;8236;1;5;8;1;63.0788998376644
