"W20A1";"W20B1";"W20A6";"W20B9";"W20D1";"W20E38";"weight_2020"
2;8218;8;1;8;2;166.309440828089
1;8405;11;2;8;1;116.408318917054
1;8207;12;2;6;1;353.50553676168
2;8439;6;1;5;-7;44.5435659070281
2;8236;6;1;7;-7;61.7449490056975
2;8510;7;2;7;1;199.80244626705
2;8218;12;2;8;1;184.591200525352
2;8215;14;2;7;1;35.3117728189623
2;8215;6;1;7;1;41.489056093164
2;8215;13;2;7;1;40.9749136954578
2;8236;8;1;8;4;68.837274229325
1;8518;15;1;9;1;29.2096879844082
1;8215;13;1;8;-7;32.3082438776559
2;8439;14;1;7;-7;46.0016723163669
1;8218;7;2;5;4;147.570009805384
2;8236;13;2;4;3;68.837274229325
2;8236;9;1;8;3;64.483463722513
2;8231;10;2;5;3;234.911917870803
1;8439;4;2;8;3;79.2275567630611
1;8212;12;2;7;1;154.618207437735
2;8207;13;2;8;1;244.577005003127
1;8212;11;1;8;1;124.862873538856
1;8212;6;2;7;2;132.07524408918
1;8212;7;1;8;1;146.349854098819
1;8218;12;1;8;1;147.570009805384
1;8207;10;2;8;1;271.927335970524
2;8207;11;1;2;1;226.38257800235
2;8423;8;1;7;-7;44.5435659070281
1;8229;10;2;4;2;25.8461481559006
1;8229;13;1;8;1;30.2097835588449
1;8218;9;2;8;1;147.570009805384
1;8207;7;1;9;2;271.927335970524
1;8336;11;2;8;3;163.464528519352
2;8510;6;2;7;-7;46.0315629416536
1;8218;7;2;9;2;184.32259126134
1;8439;13;1;8;1;63.417653301129
1;8207;14;2;5;2;262.863091438173
1;8212;6;1;8;1;124.862873538856
1;8207;12;1;5;-7;262.863091438173
1;8236;7;1;8;1;175.817439249281
2;8236;7;1;8;1;64.483463722513
2;8431;14;2;5;4;87.7177962731095
2;8406;14;1;7;3;87.7177962731095
1;8207;10;2;7;1;271.927335970524
2;8439;9;1;7;2;46.0315629416536
1;8510;10;1;6;1;38.8711946561952
2;8218;7;1;8;1;166.309440828089
1;8212;15;1;8;1;124.862873538856
1;8229;9;1;8;1;35.6118802716244
1;8218;10;1;6;2;147.570009805384
1;8218;12;1;8;1;173.765414981666
1;8406;8;1;7;1;115.611001664198
2;8212;9;1;6;-7;184.421326046651
1;8406;8;1;7;1;116.408318917054
1;8215;8;2;8;1;38.8711946561952
2;8212;5;2;8;1;124.322510811156
2;8212;7;1;8;1;154.618207437735
1;8207;11;1;3;1;262.863091438173
1;8218;10;1;7;1;149.964213504292
1;8218;8;1;5;2;163.597323822864
1;8207;10;1;8;1;262.863091438173
2;8215;11;2;5;3;40.9749136954578
1;8231;9;1;4;1;272.287691376224
2;8236;11;1;8;1;64.3893272791225
1;8407;13;1;6;3;115.611001664198
1;8439;6;1;7;1;72.2308374645052
2;8401;9;1;8;-7;105.297122213266
1;8229;9;1;7;1;52.1893376224916
1;8212;10;2;8;1;132.07524408918
1;8207;10;1;8;1;271.927335970524
1;8218;12;1;5;3;184.32259126134
2;8218;10;1;8;-7;187.378291822483
1;8215;11;2;8;2;37.4896924979043
2;8218;9;1;8;1;184.591200525352
1;8212;11;1;8;3;142.123806836706
2;8345;9;1;8;3;158.562750264217
2;8212;11;2;8;1;124.322510811156
1;8510;14;1;6;1;110.983404518299
2;8229;6;1;8;2;30.5524033775126
1;8510;5;1;7;1;139.907708464667
2;8510;12;1;8;-7;178.953495352227
2;8215;12;2;8;1;40.9749136954578
1;8229;14;1;6;3;32.8950976529644
1;8229;13;2;8;1;32.2064071848605
2;8236;6;1;8;2;66.934456615708
1;8212;8;2;8;1;142.123806836706
1;8218;13;2;8;-7;184.32259126134
2;8215;12;1;7;1;42.4848469046785
1;8212;6;1;9;1;142.123806836706
2;8212;10;1;5;-7;133.781229282063
1;8229;13;1;9;1;32.8950976529644
2;8406;12;1;2;-7;105.297122213266
2;8229;10;1;8;1;34.4072245199095
1;8510;5;2;8;1;160.505544867752
1;8207;10;1;8;1;253.580431374922
1;8218;12;1;5;-7;173.765414981666
1;8313;14;1;7;4;149.6801024941
2;8236;9;1;7;1;61.7449490056975
1;8510;5;1;7;1;139.907708464667
1;8229;11;2;8;1;30.2097835588449
2;8510;1;1;7;-7;174.161599375836
2;8218;9;1;5;2;150.016425942899
2;8215;8;2;7;-7;40.9749136954578
2;8229;9;2;4;1;31.5984714978761
2;8439;9;2;7;1;44.5435659070281
1;8218;7;1;5;1;173.765414981666
2;8212;13;2;7;2;184.421326046651
2;8212;5;2;7;1;184.421326046651
2;8212;4;2;7;4;251.724091563574
2;8439;5;1;9;1;44.5435659070281
1;8439;3;1;8;3;69.9413501099024
1;8212;10;1;9;1;146.349854098819
1;8212;7;2;8;1;154.618207437735
1;8533;12;1;8;-7;63.417653301129
2;8432;10;1;8;1;106.969902582875
2;8215;8;1;8;-7;49.6454273478429
1;8207;6;1;8;2;262.863091438173
2;8439;10;1;8;1;44.5435659070281
2;8236;8;1;7;-7;65.7778398191328
1;8510;12;1;8;1;177.146587981131
2;8236;8;1;8;4;69.6021328318731
1;8218;9;1;8;1;149.964213504292
1;8207;12;2;8;2;234.716226837715
1;8406;14;2;8;1;175.817439249281
2;8215;12;1;8;3;41.3347069261508
2;8423;11;1;8;1;145.782782118755
2;8423;12;1;8;3;48.1824923372908
1;8215;9;1;7;1;32.3082438776559
2;8423;6;1;8;2;40.3888174170082
2;8215;12;1;8;1;42.4848469046785
1;8207;9;2;7;1;293.681522848165
2;8423;10;2;7;1;48.1824923372908
1;8212;7;2;7;1;154.618207437735
1;8207;13;1;9;1;262.863091438173
2;8236;11;1;8;2;64.483463722513
1;8236;12;2;8;2;71.5582184213983
1;8218;7;1;5;1;184.32259126134
2;8215;10;2;7;1;40.9749136954578
1;8231;13;1;2;1;188.502670025822
2;8406;6;1;5;-7;92.7072489051578
1;8218;14;1;9;1;173.765414981666
