"W22A1";"W22B1";"W22A6";"W22B9";"W22D1";"W22E38";"weight_2022"
2;8218;10;1;8;2;177.831276974623
1;8405;13;2;9;1;295.229864145137
2;8439;8;1;5;-7;201.022012559416
2;8510;10;2;7;1;214.709320249608
2;8218;14;2;8;1;181.748719597832
2;8215;16;2;7;1;121.46411109786
2;8215;8;1;7;1;144.822594001294
2;8236;10;1;8;4;196.057453722189
1;8215;15;1;8;-7;141.864106006216
2;8439;16;1;7;-7;180.284500232177
2;8236;16;2;6;3;196.057453722189
2;8236;11;1;8;3;242.451830158551
2;8231;12;2;5;3;481.518120467468
1;8439;6;2;8;1;390.220246964624
1;8212;14;2;7;2;203.542861368781
2;8207;15;2;8;1;178.9736695364
1;8212;12;1;8;1;226.158734854201
1;8212;8;2;7;2;226.821956950548
1;8212;9;1;8;1;222.995675625471
1;8207;12;2;8;1;185.594385587911
2;8207;13;1;4;1;175.990775044127
1;8229;12;2;4;2;235.112433397301
1;8218;11;2;8;1;175.416030340939
1;8207;9;1;9;1;185.594385587911
1;8336;13;2;8;1;405.665114168846
1;8439;15;1;8;1;212.076221176426
1;8212;8;1;8;1;168.217240800645
1;8207;14;1;5;-7;182.632773051934
2;8431;16;2;5;3;236.044503731864
2;8406;16;1;7;4;256.066135744834
1;8207;12;2;7;2;185.594385587911
2;8439;11;1;7;2;207.649111874561
1;8510;12;1;7;2;172.550531280022
1;8212;17;1;8;1;222.995675625471
1;8229;16;1;8;1;245.561874881626
1;8218;12;1;6;2;162.886313888015
1;8218;14;1;8;1;180.427916922109
1;8406;10;1;7;1;310.768278047512
2;8212;11;1;6;1;202.313012604297
1;8406;10;1;7;1;310.768278047512
1;8215;10;2;8;3;166.690324557304
1;8207;13;1;6;1;182.632773051934
1;8218;12;1;8;1;153.785782990628
1;8218;10;1;5;1;186.394448566359
1;8207;12;1;6;1;151.68771899012
2;8215;13;2;5;3;133.080221514703
1;8231;11;1;3;-7;494.012181593237
2;8236;13;1;8;1;210.580228071981
1;8439;8;1;7;1;264.93748166311
1;8212;13;2;8;1;226.821956950548
1;8207;12;1;8;1;185.594385587911
1;8218;14;1;5;3;174.097112819579
1;8215;13;2;8;1;178.920321196019
2;8218;11;1;8;1;181.748719597832
1;8212;13;1;8;3;177.32900801068
2;8345;11;1;8;4;358.406529872499
1;8510;15;1;9;1;194.418363302137
2;8229;8;1;8;1;207.074665914026
1;8510;7;1;7;-7;250.986963547943
2;8215;14;2;8;1;133.080221514703
1;8229;16;1;6;1;222.905868568143
1;8229;15;2;8;2;232.744084709233
2;8236;8;1;8;2;213.063400240822
1;8212;10;2;8;1;177.32900801068
1;8218;16;2;8;1;174.097112819579
2;8215;14;1;7;1;135.167754401208
1;8212;8;1;9;1;177.32900801068
2;8406;14;1;2;-7;230.570373311366
2;8229;12;1;8;2;162.753421630674
1;8510;7;2;9;1;399.107885420237
1;8313;16;1;7;1;348.284851309436
1;8510;7;1;7;-7;194.418363302137
1;8229;13;2;8;1;220.666200930493
2;8510;1;1;7;-7;250.343850291035
2;8218;11;1;5;2;184.70398333113
2;8229;11;2;4;1;165.003468934323
2;8439;11;2;7;1;224.953204530775
1;8218;10;1;5;-7;175.416030340939
2;8212;7;2;6;1;185.675847098231
2;8439;7;1;9;1;201.022012559416
1;8439;5;1;8;1;320.413627529945
1;8212;9;2;8;1;203.542861368781
2;8215;10;1;8;2;144.822594001294
1;8207;8;1;8;2;151.68771899012
2;8439;12;1;8;1;224.953204530775
2;8236;10;1;7;-7;202.157018949102
2;8236;10;1;8;4;266.233574062433
1;8218;11;1;7;1;153.785782990628
1;8406;16;2;8;1;174.097112819579
2;8215;14;1;8;4;135.167754401208
2;8423;13;1;8;1;137.753116741036
2;8423;14;1;8;1;205.91870260894
1;8215;11;1;7;1;141.864106006216
1;8207;11;2;7;1;172.5801451351
2;8423;12;2;7;1;205.91870260894
1;8212;9;2;7;1;203.542861368781
1;8432;15;1;9;1;172.5801451351
2;8236;13;1;8;1;224.618909943446
1;8236;14;2;8;2;200.303671186851
1;8218;10;1;6;1;174.097112819579
2;8215;12;2;8;2;135.167754401208
1;8231;15;1;2;1;425.359767079043
2;8406;8;1;5;-7;353.615139838104
1;8218;10;1;9;1;180.427916922109
1;8439;13;1;8;1;212.076221176426
