A1,A6,B1,B9,D1,E38,year,weight
2,6,8214,1,8,NA,2016,28.622772884561
2,2,8265,1,4,NA,2016,143.445621063506
2,2,8345,1,5,NA,2016,9.3679918497525
2,1,8231,2,3,NA,2016,227.749729505977
2,5,8207,1,7,NA,2016,352.189436344679
2,10,8212,2,7,NA,2016,103.594552567325
1,3,8218,2,5,NA,2016,128.18586113674
2,5,8229,2,3,NA,2016,20.211326255055
2,3,8439,1,9,NA,2016,32.5372503272146
1,4,8231,1,3,NA,2016,127.562715249726
1,4,8510,1,7,NA,2016,12.2027112521508
2,10,8510,1,8,NA,2016,13.1335672450724
1,5,8510,1,8,NA,2016,12.2027112521508
1,3,8231,1,2,NA,2016,175.672714412934
2,9,8215,1,7,NA,2016,32.4527266661945
2,4,8236,2,7,NA,2016,50.0081358505039
2,2,8229,1,8,NA,2016,28.7252461963411
2,2,8265,1,7,NA,2016,143.445621063506
1,5,8231,1,2,NA,2016,127.562715249726
2,1,8229,2,8,NA,2016,28.7252461963411
1,7,8229,2,9,NA,2016,20.774459285079
1,6,8207,1,9,NA,2016,215.845074456563
2,2,8510,1,7,NA,2016,14.4414125595827
1,3,8231,1,2,NA,2016,161.456190316157
1,7,8207,1,6,NA,2016,255.711092776512
2,2,8510,1,7,NA,2016,14.4414125595827
1,7,8231,1,3,NA,2016,194.384755446701
1,4,8236,1,7,NA,2016,44.3734396580336
1,6,8236,1,9,NA,2016,49.6335130520869
2,9,8229,1,6,NA,2016,19.7031775987449
2,1,8229,1,8,NA,2016,28.7252461963411
2,9,8236,1,2,NA,2016,45.5669371189829
1,9,8231,2,2,NA,2016,179.559973669534
1,10,8401,2,8,NA,2016,49.6335130520869
2,2,8212,1,2,NA,2016,103.604770425828
2,1,8207,1,9,NA,2016,295.205128205128
2,6,8354,2,1,NA,2016,8.63859073896496
2,10,8231,1,2,NA,2016,182.248517720399
2,4,8229,2,5,NA,2016,20.211326255055
1,6,8231,1,2,NA,2016,127.562715249726
2,1,8309,1,6,NA,2016,8.63859073896496
2,3,8406,2,3,NA,2016,31.6666495541945
1,3,8439,2,8,NA,2016,24.3891328104788
2,4,8436,1,6,NA,2016,28.3557932169374
1,5,8229,2,8,NA,2016,22.1597661958095
1,1,8218,1,6,NA,2016,128.18586113674
2,10,8229,1,9,NA,2016,19.7031775987449
1,7,8231,1,7,NA,2016,157.275872994598
2,9,8231,1,2,NA,2016,118.712385680636
2,6,8231,1,2,NA,2016,118.712385680636
1,9,8423,1,9,NA,2016,18.8616349612914
2,4,8510,1,8,NA,2016,13.1335672450724
2,3,8231,1,2,NA,2016,122.292834758137
1,2,8510,1,7,NA,2016,15.3400932715348
